Market 1 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
D-HTG216,Fort Myers,46295,Lopez Underground,46231,Joshua,FM112879,79,On Track,Received,,,Yes,80274,Yes,In Process,46232,,,,,6786,2241,4545,0.330238726790451,46241,,0,0,0,7/24 NTP Package Recived
D-HTG217,Fort Myers,46295,Lopez Underground,46231,Joshua,FM112881,77,On Track,Received,,,Yes,76557.5,Yes,Locates Called,46232,,,,,6200,,6200,0,,,0,0,0,7/24 NTP Package Recived
D-HTG218,Fort Myers,46233,Gulfstream,46219,Joshua,FM112751,48,On Track,Received,,,Yes,50669,Yes,In Process,46220,,,,,3600,3041,559,0.844722222222222,46226,,0,0,0,5/29 NTP Received
D-HTG229,Fort Myers,46203,Lopez Underground,46169,Joshua,,70,On Track,Received,,,Yes,65362,Yes,In Process,46170,,,,,5460,5097,363,0.933516483516484,46189,,0,0,0,5/8 NTP Package Received
D-HTG230,Fort Myers,46233,Restoring Pro,46219,Joshua,FM112752,79,On Track,Received,,,Yes,89293.95,Yes,In Process,46220,,,,,7494,2802,4692,0.373899119295436,46231,,0,0,0,4/14 NTP Received
D-HTG231,Fort Myers,46264,Restoring Pro,46231,Joshua,FM112883,90,On Track,Received,,,Yes,90888,Yes,Locates Called,46232,,,,,7881,,7881,0,,,0,0,0,5/29 NTP Received
D-HTG233,Fort Myers,46203,Lopez Underground,46156,Joshua,,71,On Track,Received,,,Yes,91537.75,Yes,In Process,46157,,,,,7255,6960,295,0.95933838731909,46174,,0,0,0,4/14 NTP Received
D-HTG238,Fort Myers,46203,Lopez Underground,46171,Joshua,,74,On Track,Received,,,Yes,70534.5,Yes,In Process,46174,,,,,5756,5626,130,0.977414871438499,46191,,0,0,0,5/8 NTP Package Received
D-HTG305,Fort Myers,46203,,,,,56,On Track,Received,,,Yes,50042,Yes,Not Started,,,,,,4159,,4159,0,,,0,0,0,4/30 NTP Received.
D-HTG307,Fort Myers,46203,HAS Global,46184,Joshua,,62,On Track,Received,,,Yes,48766,Yes,Locates Called,46185,,,,,4009,,4009,0,,,0,0,0,4/30 NTP Received.
FB-HTG238,Fort Myers,46233,Lopez Underground,46213,Joshua,FM112420,0,On Track,Received,,,Yes,72557.35,Yes,In Process,46213,,,,,5666,4426,1240,0.781150723614543,,,0,0,0,6/15 NTP Package Received
FB-HTG279,Fort Myers,46295,Lopez Underground,46231,Joshua,FM112884,0,On Track,Received,,,Yes,17689.15,Yes,Locates Called,46232,,,,,949,,949,0,,,0,0,0,7/24 NTP Package Recived
FB-HTG288,Fort Myers,46203,Alpha Omega,46184,Joshua,,0,On Track,Received,,,Yes,75219.2,Yes,In Process,46189,,,,,5902,5176,726,0.876990850559133,46210,,0,0,0,5/8 NTP Package Received
Promenades At The Forum,Fort Myers,46172,APT Communications / New Gen Unlimited,,,,402,On Track,Not Required,,46092,Yes,438978.5,Yes,Locates Called,46091,,,,,30807,,30807,0,,,0,0,0,3/16/2026 on hold needs permit per tillman. 4/2 Pending Utility Permit From Tillman.
D-HSF322,Port Charlotte,46172,Lopez Underground,46210,Joshua,,89,On Track,Received,,,Yes,81150,Yes,Locates Called,46148,,,,,6825,,6825,0,,,0,0,0,4/21 NTP Received.
D-HSF401,Port Charlotte,46295,,,,,79,On Track,Received,,,Yes,75443.75,Yes,Not Started,,,,,,5953,,5953,0,,,0,0,0,7/24 PO Received.
D-HSF402,Port Charlotte,46295,,,,,78,On Track,Received,,,Yes,72242,Yes,Not Started,,,,,,5890,,5890,0,,,0,0,0,7/24 PO Received.
D-HSF419,Port Charlotte,46295,,,,,49,On Track,Received,,,Yes,62657,Yes,Not Started,,,,,,5185,,5185,0,,,0,0,0,7/31 NTP Package Received.
D-HSF420,Port Charlotte,46295,,,,,49,On Track,Received,,,Yes,58273.5,No,Not Started,,,,,,4709,,4709,0,,,0,0,0,8/3 PO Uploaded Into SiteTracker.
FB-HSF304,Port Charlotte,46172,Lightspeed In-House,46140,Joshua,,0,On Track,Received,,,Yes,33518.7,Yes,In Process,46140,,,,,3693,2153,1540,0.58299485513133,46146,,0,0,0,4/21 NTP Received.
FB-HSF606,Port Charlotte,46111,,,,,0,On Track,Pending,SOW Pending,,No,,No,Not Started,,,,,,,,0,0,,,0,0,0,2/19 Pending NTP Package and SOW.
